name,latitude,longitude,globalPlusCode,phone,website,beds,address,city,state,notes,mapsAddress
Hospital Pulau Pinang,5.4170625,100.3114375,6PQ2C886+RH,04-2225333,http://jknpenang.moh.gov.my/hpp/,1198,"Jalan Residensi,
Pulau Pinang, Pulau Pinang,
10990 Pulau Pinang,
Pulau Pinang",Pulau Pinang,Pulau Pinang,,"Jalan Residensi, 10990 George Town, Pulau Pinang"
Hospital Putrajaya,2.9290625,101.6741875,6PJ3WMHF+JM,03-83124200,http://hpj.moh.gov.my/,341,"Pusat Pentadbiran Kerajaan Persekutuan, presint 7,
Putrajaya, WP Putrajaya,
62250 Putrajaya,
WP Putrajaya",Putrajaya,WP Putrajaya,,"Jalan P9, Presint 7, 62250 Putrajaya, Wilayah Persekutuan Putrajaya"
Hospital Queen Elizabeth,5.9568125,116.0728125,6PQRX34F+P4,088-517555,http://qeh.moh.gov.my,775,"Karung Berkunci N0.2029,
Kota Kinabalu, Sabah,
88586 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"13a, Jalan Penampang, 88200 Kota Kinabalu, Sabah"
Hospital Queen Elizabeth II,5.9664375,116.0938125,6PQRX38V+HG,088-245249,http://hqe2.moh.gov.my,291,"Lorong Bersatu, Jalan Damai Luyang, Kota Kinabalu,
Kota Kinabalu, Sabah,
88300 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"Lorong Bersatu, Off, Jalan Damai, Luyang Commercial Centre, 88300 Kota Kinabalu, Sabah"
Hospital Raja Perempuan Zainab II,6.1253125,102.2456875,6PR446GW+47,09-7452000,http://hrpz2.moh.gov.my,937,"Jalan Hospital,
Kota Bharu, Kelantan,
15000 Kota Bharu,
Kelantan",Kota Bharu,Kelantan,postcode different,"15586, Jalan Hospital, Bandar Kota Bharu, 15200 Kota Bharu, Kelantan"
Hospital Raja Permaisuri Bainun,4.6023125,101.0965625,6PP3J32W+WJ,05-2533333,http://hrpb.moh.gov.my,990,"Jalan Hospital,
Ipoh, Perak,
30400 Ipoh,
Perak",Ipoh,Perak,,"Jalan Raja Ashman Shah, 30450 Ipoh, Negeri Perak"
Hospital Rajah Charles Brooke Memorial,1.3890625,110.3224375,6PHG98QC+JX,082-611123,,20,"Bt 13, Jalan Puncak Borneo, Kota Padawan,
Kuching, Sarawak,
93250 Kuching,
Sarawak",Kuching,Sarawak,,"Batu 13, Jalan Puncak Borneo, Kota Padawan, 93250, Kuching, Sarawak"
Hospital Ranau,5.9538125,116.6710625,6PQRXM3C+GC,088-875266,http://hranau.moh.gov.my,110,"Peti Surat 65,
Ranau, Sabah,
89300 Ranau,
Sabah",Ranau,Sabah,,"Peti Surat 65,, 89300 Ranau, Sabah"
Hospital Raub,3.809562499999999,101.8528125,6PM3RV53+R4,09-3553333,,89,"Jalan Tengku Abd Samad,
Raub, Pahang,
27600 Raub,
Pahang",Raub,Pahang,,"Jalan Tengku Abdul Samad, 27600 Raub, Pahang"
Hospital Rehabilitasi Cheras,3.1046875,101.7301875,6PM34P3J+V3,03-91453400,,156,"Jalan Yaacob Latif, Bandar Tun Razak Cheras 56000 Kuala Lumpur
WP Kuala Lumpur,
56000 Kuala Lumpur,
WP Kuala Lumpur",Kuala Lumpur,WP Kuala Lumpur,,"Jalan Yaacob Latif, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur"
Hospital Rompin,2.7960625,103.4960625,6PJ5QFWW+CC,09-4141305,,60,"Jalan Kg Kolam Kuala Rompin
26800 Rompin
Pahang,
26800 Rompin,
Pahang",Rompin,Pahang,,"Kampung Kolam, 26800 Kuala Rompin, Pahang"
Hospital Saratok,1.7474375,111.3398125,6PHHP8WQ+XW,083-436311,,106,"KM 1, Jalan Saratok,
Saratok, Sarawak,
95400 Saratok,
Sarawak",Saratok,Sarawak,,"Jalan Saratok, 95400 Saratok, Sarawak"
Hospital Sarikei,2.1319375,111.4920625,6PJH4FJR+QR,084-653333,http://hsarikei.moh.gov.my,212,"Jalan Rentap,
Sarikei, Sarawak,
96100 Sarikei,
Sarawak",Sarikei,Sarawak,,"Jalan Rentap, 96100 Sarikei, Sarawak"
Hospital Seberang Jaya,5.3951875,100.4066875,6PQ29CW4+3M,04-3827333,http://jknpenang.moh.gov.my/hsj/,314,"Jln Tun Hussein Onn, Perai,
Perai, Pulau Pinang,
13700 Perai,
Pulau Pinang",Perai,Pulau Pinang,,"Jalan Tun Hussein Onn, Seberang Jaya, 13700 Permatang Pauh, Pulau Pinang"
Hospital Segamat,2.4933125,102.8590625,6PJ4FVV5+8J,07-9433333,http://hsgm.moh.gov.my,314,"KM 6 Jalan Genuang,,
Segamat, Johor,
85000 Segamat,
Johor",Segamat,Johor,,"6, Jalan Genuang, Bandar Putra, 85000 Segamat, Johor"
Hospital Selama,5.213062499999999,100.6889375,6PQ26M7Q+6H,05-8394233,http://hselama.moh.gov.my,90,"Jalan Taiping,
Selama, Perak,
34100 Selama,
Perak",Selama,Perak,,"Jalan Taiping Selama, Perak 34100 Selama Perak"
Hospital Selayang,3.2431875,101.6468125,6PM36JVW+7P,03-61203233,http://hselayang.moh.gov.my,960,"Lebuhraya Selayang-Kepong,
Batu Caves, Selangor,
68100 Batu Caves,
Selangor",Batu Caves,Selangor,,"B21, Lebuhraya Selayang - Kepong, 68100 Batu Caves, Selangor"
Hospital Semporna,4.4828125,118.6044375,6PPWFJM3+4Q,089-781522,http://hspn.moh.gov.my,70,"Peti Surat 80,
Semporna, Sabah,
91307 Semporna,
Sabah",Semporna,Sabah,,"Pekan Semporna, 91308 Semporna, Sabah"
Hospital Sentosa,1.4629375,110.3298125,6PHGF87H+5W,082-612321,,338,"Batu 7, Jalan Penenrisen,
Kuching, Sarawak,
93250 Kuching,
Sarawak",Kuching,Sarawak,,"Batu 7, Jalan Penrissen, Kota Sentosa, 93250 Kuching, Sarawak"
Hospital Serdang,2.9761875,101.7201875,6PJ3XPGC+F3,03-89475555,http://hserdang.moh.gov.my,682,"Jalan Puchong,
Kajang, Selangor,
43000 Kajang,
Selangor",Kajang,Selangor,,"Jalan Puchong, 43000 Kajang, Selangor"
Hospital Seri Manjung,4.1858125,100.6623125,6PP25MP6+8W,05-689 6600,http://hsmanjung.moh.gov.my,305,"Seri Manjung,
32040 Seri Manjung,
Perak",Seri Manjung,Perak,,Seri Manjung 32040 Seri Manjung Perak
Hospital Serian,1.1763125,110.5635625,6PHG5HG7+GC,082-874311,,84,"94700 Serian,
Serian, Sarawak,
94700 Serian,
Sarawak",Serian,Sarawak,,"Bandar Serian, 94700 Serian, Sarawak"
Hospital Setiu,5.5144375,102.7693125,6PQ4GQ79+QP,09-6090333,http://hsetiu.moh.gov.my,76,"Bandar Permaisuri,
Setiu, Terengganu,
22100 Setiu,
Terengganu",Setiu,Terengganu,,"22100, Permaisuri, Terengganu, 22100"
Hospital Shah Alam,3.0709375,101.4900625,6PM33FCR+92,03-5526 3000,,299,"Hospital Shah Alam
Persiaran Kayangan, Seksyen 7
40000 Shah Alam
Selangor,
40000 Shah Alam,
Selangor",Shah Alam,Selangor,,"Persiaran Kayangan, Seksyen 7, 40000 Shah Alam, Selangor"
Hospital Sibu,2.2964375,111.8919375,6PJH7VWR+HQ,084-343333,http://hsibu.moh.gov.my,555,"Batu 5 ½,  Jalan Ulu Oya,
Sibu, Sarawak,
96000 Sibu,
Sarawak",Sibu,Sarawak,,"KM 5 1/2, Jalan Ulu Oya, 96000 Sibu, Sarawak"
Hospital Sik,5.811062499999999,100.7285625,6PQ2RP6H+CC,04-4695333,http://hsik.moh.gov.my/,93,"08200 Sik,
Sik, Kedah,
08200 Sik,
Kedah",Sik,Kedah,,"Pekan Sik, 08220 Sik, Kedah"
Hospital Simunjan,1.3700625,110.7863125,6PHG9QCP+2G,082-803984,,42,"Jalan Gunung Ngeli,
Simunjan, Sarawak,
94800 Simunjan,
Sarawak",Simunjan,Sarawak,,"94800 Simunjan, Sarawak"
Hospital Sipitang,5.0964375,115.5629375,6PQQ3HW7+H5,087-822296,http://hsipitang.moh.gov.my,93,"Peti Surat 250,
Sipitang, Sabah,
89857 Sipitang,
Sabah",Sipitang,Sabah,,"Kilometer 2 Jalan Sipitang - Beaufort, Peti Surat 250, 89857 Sipitang, Sabah"
Hospital Slim River,3.8371875,101.4041875,6PM3RCP3+VM,05-4508000,http://hsr.moh.gov.my,140,"35800 Slim River,
Perak",Slim River,Perak,,"35800 Slim River, Perak"
Hospital Sri Aman,1.2344375,111.4629375,6PHH6FM7+Q5,083-322151,http://hsa.moh.gov.my,96,"Jalan Hospital,
Sri Aman, Sarawak,
95007 Sri Aman,
Sarawak",Sri Aman,Sarawak,,"Pekan Sri Aman, 95000 Sri Aman, Sarawak"
Hospital Sultan Abdul Halim,5.6695625,100.5174375,6PQ2MG98+RX,04-4457333,http://hsah.moh.gov.my/,628,"Jalan Lencongan Timur Bandar Amanjaya, Sungai Petani,
Sungai Petani, Kedah,
08000 Sungai Petani,
Kedah",Sungai Petani,Kedah,,"Jalan Lencongan Timur, Bandar Amanjaya, 08000 Sungai Petani, Kedah"
Hospital Sultan Hj Ahmad Shah,3.4531875,102.4531875,6PM4FF33+77,09-2955333,http://hoshas.moh.gov.my,500,"Jalan Maran,
Temerloh, Pahang,
28000 Temerloh,
Pahang",Temerloh,Pahang,,"Jalan Maran, 28000 Temerloh, Pahang Darul Makmur"
Hospital Sultan Ismail,1.5466875,103.7909375,6PH5GQWR+M9,07-3565000,http://hsi.moh.gov.my,704,"Jalan Persiaran Mutiara Emas Utama, Taman Miount Austin,
Johor Bahru, Johor,
81100 Johor Bahru,
Johor",Johor Bahru,Johor,,"Jalan Mutiara Emas Utama, Taman Mount Austin, 81100 Johor Bahru, Johor"
Hospital Sultan Ismail Petra,5.4973125,102.2245625,6PQ4F6WF+WR,09-09611666,http://hsip.moh.gov.my/,150,"KM 6, Jalan Kuala Krai - Gua Musang,
18000 Kuala Krai,
Kelantan",Kuala Krai,Kelantan,,"18000 Kuala Krai, Kelantan"
Hospital Sultanah Aminah,1.4574375,103.7466875,6PH5FP4W+XM,07-2231666,http://hsajb.moh.gov.my,1206,"Johor Bahru,
Johor Bahru, Johor,
80100 Johor Bahru,
Johor",Johor Bahru,Johor,,"80000 Johor Bahru, Johor"
Hospital Sultanah Bahiyah,6.1485625,100.4063125,6PR24CX4+CG,04-7406233,http://hsbas.moh.gov.my/,1084,"KM 6, Jln Langgar, Alor Setar,
Alor Setar, Kedah,
05460 Alor Setar,
Kedah",Alor Setar,Kedah,,"Km 6, Jalan Langgar, Bandar Alor Setar, 05460 Alor Setar, Kedah"
Hospital Sultanah Hajjah Kalsom,4.4668125,101.3911875,6PP3F98R+PF,05-4913333,,28,"Tanah Rata,,
Cameron Highlands, Pahang,
39000 Cameron Highlands,
Pahang",Cameron Highlands,Pahang,,"Tanah Rata, 39000 Tanah Rata, Pahang"
Hospital Sultanah Nora Ismail,1.8369375,102.9408125,6PH4RWPR+Q8,07-4363000,http://hsni.moh.gov.my,516,"Jalan Korma,83000 Batu Pahat,
Batu Pahat, Johor,
83000 Batu Pahat,
Johor",Batu Pahat,Johor,,"Jalan Korma, Taman Soga, 83000 Batu Pahat, Johor"
Hospital Sultanah Nur Zahirah,5.325187500000001,103.1519375,6PQ585G2+3Q,09-6212121,http://hsnzkt.moh.gov.my,1060,"Jalan Sultan Mahmud, Kuala Terengganu,
Kuala Terengganu, Terengganu,
20400 Kuala Terengganu,
Terengganu",Kuala Terengganu,Terengganu,,"Hospital Sultanah Nur Zahirah, 20400 Kuala Terengganu, Terengganu"
Hospital Sungai Bakap,5.219562499999999,100.4980625,6PQ26F9X+R6,04-5824333,http://jknpenang.moh.gov.my/hsb/,105,"Sungai Jawi, Seberang Perai Selatan,
Sungai Jawi, Pulau Pinang,
14200 Sungai Jawi,
Pulau Pinang",Sungai Jawi,Pulau Pinang,,"Jalan Besar Sungai Bakap, Sungai Bakap, 14200 Sungai Jawi, Pulau Pinang"
Hospital Sungai Buloh,3.2195625,101.5830625,6PM36H9M+R6,03-61454333,http://hsgbuloh.moh.gov.my,620,"Jalan Hospital,
Sungai Buluh, Selangor,
47000 Sungai Buluh,
Selangor",Sungai Buluh,Selangor,,"Jalan Hospital, 47000 Sungai Buloh, Selangor"
Hospital Sungai Siput,4.8279375,101.0570625,6PP3R3H4+5R,05-5983333,http://hsgsiput.moh.gov.my,93,"Jalan Felda Lasah,
Sungai Siput, Perak,
31100 Sungai Siput,
Perak",Sungai Siput,Perak,,"Jalan Felda Lasah, 31100 Sungai Siput, Negeri Perak"
Hospital Taiping,4.849937499999999,100.7364375,6PP2RPXP+XH,05-8204000,http://htaiping.moh.gov.my,608,"Jalan Taming Sari,
Taiping, Perak,
34000 Taiping,
Perak",Taiping,Perak,,"Jalan Taming Sari, 34000 Taiping, Negeri Perak"
Hospital Tambunan,5.6825625,116.3710625,6PQRM9MC+2C,087-774333,http://htbn.moh.gov.my,49,"Peti Surat 10,
Tambunan, Sabah,
89657 Tambunan,
Sabah",Tambunan,Sabah,,"Peti Surat 10, Tambunan, 89657, Tambunan, Sabah"
Hospital Tampin,2.4848125,102.2336875,6PJ4F6MM+WF,06-4411511,http://htampin.moh.gov.my/,85,"Jalan Haji Ahmad Zainuddin, Tampin,
Tampin, Negeri Sembilan,
73009 Tampin,
Negeri Sembilan",Tampin,Negeri Sembilan,,"Jln Tampin-Gemas, Kampung Keru Tengah, 73000 Tampin, Negeri Sembilan"
Hospital Tanah Merah,5.8099375,102.1523125,6PQ4R552+XW,09-9545000,http://hmerah.moh.gov.my/,120,"17500 Tanah Merah,
Tanah Merah, Kelantan,
17500 Tanah Merah,
Kelantan",Tanah Merah,Kelantan,,"17500 Tanah Merah, Kelantan"
Hospital Tangkak,2.2720625,102.5468125,6PJ47GCW+RP,06-9782792,,69,"Jalan Hospital,  Tangkak Muar,
Tangkak, Johor,
84900 Tangkak,
Johor",Tangkak,Johor,,"Kampung Padang Lalang, 84900 Tangkak, Johor"
Hospital Tanjung Karang,3.4248125,101.1789375,6PM3C5FH+WH,03-32698333,,114,"Tanjung Karang,
Tanjung Karang, Selangor,
45500 Tanjung Karang,
Selangor",Tanjung Karang,Selangor,,"Pekan Tanjong Karang, 45500 Tanjung Karang, Selangor"
Hospital Tapah,4.201812500000001,101.2595625,6PP36725+PR,05-4011333,http://htapah.moh.gov.my,100,"Jalan Temoh,
Tapah, Perak,
35000 Tapah,
Perak",Tapah,Perak,,"Jalan Temoh, 35000 Tapah, Perak"
Hospital Tawau,4.249687499999999,117.8806875,6PPV6VXJ+V7,089-773533,http://htwu.moh.gov.my,401,"Peti Surat 80,
Tawau, Sabah,
91007 Tawau,
Sabah",Tawau,Sabah,,"67, Peti Surat, 91007 Tawau, Sabah"
Hospital Teluk Intan,4.0045625,101.0403125,6PP3223R+R4,05-6213333,http://htintan.moh.gov.my,548,"Jalan Changkat Jong,
Teluk Intan, Perak,
36000 Teluk Intan,
Perak",Teluk Intan,Perak,,"Jalan Changkat Jong, 36000 Teluk Intan, Negeri Perak"
Hospital Temenggong Seri Maharaja Tun Ibrahim,1.6396875,103.6238125,6PH5JJQF+VG,07-6623333,,93,"Hospital Temenggong Seri Maharaja Tun Ibrahim, 81000 Kulai,
Kulaijaya, Johor,
81000 Kulaijaya,
Johor",Kulaijaya,Johor,,"Senai Highway, 81000 Kulai, Johor"
Hospital Tengku Ampuan Afzan,3.800437499999999,103.3215625,6PM5R82C+5J,09-5133333,http://htaa.moh.gov.my/,793,"Jalan Air Putih,
Kuantan, Pahang,
25100 Kuantan,
Pahang",Kuantan,Pahang,,"Jalan Tanah Putih, 25100 Kuantan, Pahang"
Hospital Tengku Ampuan Jemaah,3.7613125,100.9898125,6PM2QX6Q+GW,03-32163333,http://htaj.moh.gov.my,93,"45200 Sabak Bernam,
Sabak Bernam, Selangor,
45200 Sabak Bernam,
Selangor",Sabak Bernam,Selangor,,"Jalan Hospital, 45200 Sabak, Selangor"
Hospital Tengku Ampuan Rahimah,3.0199375,101.4404375,6PM32C9R+X5,03 3375 7000,http://htar.moh.gov.my,1154,"Jalan Langat,41200 Klang,
Klang, Selangor,
41200 Klang,
Selangor",Klang,Selangor,,"Jalan Langat, 41200 Klang, Selangor"
Hospital Tengku Anis,5.8329375,102.3878125,6PQ4R9MQ+54,09-7843333,,75,"Jalan Pasir Puteh,
Pasir Puteh, Kelantan,
16800 Pasir Puteh,
Kelantan",Pasir Puteh,Kelantan,,"Jalan Pasir Puteh - Tok Bali, Kota Bharu, 16800 Pasir Puteh, Kelantan"
Hospital Tenom,5.123187499999999,115.9413125,6PQQ4WFR+7G,087-735577,http://htenom.moh.gov.my,70,"Peti surat 97,
Tenom, Sabah,
89907 Tenom,
Sabah",Tenom,Sabah,,"Hospital Tenom, Peti Surat 97, Tenom, 89907, Tenom, Sabah"
Hospital Tuanku Ampuan Najihah,2.7348125,102.2330625,6PJ4P6MM+W6,06-4818001,http://htan.moh.gov.my,314,"KM 3 Jalan Melang,
Kuala Pilah, Negeri Sembilan,
72000 Kuala Pilah,
Negeri Sembilan",Kuala Pilah,Negeri Sembilan,,"KM 3, Jalan Melang, Kampung Gemelang, 72000 Kuala Pilah, Negeri Sembilan"
Hospital Tuanku Fauziah,6.441062500000001,100.1913125,6PR2C5RR+CG,04-9738000,http://htf.moh.gov.my,476,"Jalan Kolam, 01000 Kangar,
Kangar, Perlis,
01000 Kangar,
Perlis",Kangar,Perlis,,"3, Jalan Tun Abdul Razak, Pusat Bandar Kangar, 01000 Kangar, Perlis"
Hospital Tuanku Ja'afar Seremban,2.7090625,101.9435625,6PJ3PW5V+JC,06-7623333,http://htjs.moh.gov.my/,850,"Jalan Rasah,
Seremban, Negeri Sembilan,
70300 Seremban,
Negeri Sembilan",Seremban,Negeri Sembilan,,"Jalan Rasah, Bukit Rasah, 70300 Seremban, Negeri Sembilan"
Hospital Tuaran,6.1439375,116.2190625,6PRR46V9+HJ,088-788317,http://htuaran.moh.gov.my,0,"Peti surat 996, 89207 Tuaran Sabah,
Tuaran, Sabah,
89207 Tuaran,
Sabah",Tuaran,Sabah,,"Jalan hospital Tuaran Tuaran, 89200 Kota Kinabalu, Sabah"
Hospital Tumpat,6.1896875,102.1573125,6PR455Q4+VW,09-7263000,http://htumpat.moh.gov.my/,119,"Jalan Kelaburan,
Tumpat, Kelantan,
62000 Tumpat,
Kelantan",Tumpat,Kelantan,Google maps address seems wrong,"Jalan Kelaburan, 16200 Tumpat, Kelantan"
Hospital Tunku Azizah (Wanita Dan Kanak-Kanak),3.1698125,101.7028125,6PM35P93+W4,,,0,"Jalan Raja Muda Abdul Aziz,
Kampung Baru,
50300 Kuala Lumpur,
WP Kuala Lumpur",Kuala Lumpur,WP Kuala Lumpur,"Was originally Hospital Wanita dan Kanak-Kanak Kuala Lumpur, and still is on google maps. Another (private) hospital named Rampai Puteri was originally called Tunku Azizah Hospital!!! And renamed in 2016.
This hospital is actually part of HKL's complex of hospitals, which is why the address is weird and doesn't match on google maps vs official.
https://www.thestar.com.my/news/nation/2020/01/21/women-and-kids-centre-renamed-tunku-azizah-hospital","Jalan Dr Latif, Titiwangsa, 50586 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Hospital Umum Kuching,1.5436875,110.3396875,6PHGG8VQ+FV,082-276666,http://hus.moh.gov.my,765,"Jalan Tun Ahmad Zaidi Adruce,
Kuching, Sarawak,
93586 Kuching,
Sarawak",Kuching,Sarawak,,"Jalan Hospital, 93586 Kuching, Sarawak"
Hospital Wanita dan Kanak-Kanak Sabah,6.013812499999999,116.1194375,6PRR2479+GQ,088-522600,http://hwkks.moh.gov.my,504,"Karung Berkunci 187,
Kota Kinabalu, Sabah,
88996 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"187, Sabah Karung Berkunci, 88996 Kota Kinabalu, Sabah"
Hospital Yan,5.8210625,100.3843125,6PQ2R9CM+CP,04-4655333,http://hyan.moh.gov.my/,89,"Batu 25 Jalan Yan,
Yan, Kedah,
06900 Yan,
Kedah",Yan,Kedah,,"Kampung Sungai Udang, 06900 Yan, Kedah"
Institut Kanser Negara,2.9269375,101.6739375,6PJ3WMGF+QH,03-88925555,,252,"No 4, Jalan P7, Presint 7
62250 Putrajaya
WP Putrajaya,
62250 Putrajaya,
WP Putrajaya",Putrajaya  ,WP Putrajaya,,"4, Jalan P7, Presint 7, 62250 Putrajaya, Wilayah Persekutuan Putrajaya"
Institut Perubatan Respiratori,3.1756875,101.6996875,6PM35MGX+7V,03-40232966,,118,"Jalan Pahang,
Kuala Lumpur, WP Kuala Lumpur,
53000 Kuala Lumpur,
WP Kuala Lumpur",Kuala Lumpur,WP Kuala Lumpur,,"Jalan Pahang, Pekeliling, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Pusat Jantung Sarawak,1.4809375,110.4190625,6PHGFCJ9+9J,082-668111,,112,"Jalan Expressway Kota Samarahan
94300 Samarahan
Sarawak,
94300 Samarahan,
Sarawak",Samarahan,Sarawak,,"Kuching - Samarahan Expressway, 94300 Kota Samarahan, Sarawak"
Pusat Kawalan Kusta Negara,3.2216875,101.5836875,6PM36HCM+MF,03-61561321,,110,"Sungai Buluh,
Sungai Buluh, Selangor,
47000 Sungai Buluh,
Selangor",Sungai Buluh,Selangor,,"Jalan Hospital, 47000 Sungai Buloh, Selangor"